account_type,currency,user_uuid,bank_uuid,nickname,interest_rate,status,open_date,balance
Checking,GBP,c4e477e0-54d5-4685-8e39-889f06d60191,8643dfd7-52b1-4dc9-93b1-e58aaf03e9e6,race,0.1,Inactive,2023-10-06 21:29:49,71723
Saving,EUR,478362c1-1bb4-4861-80c1-1bc9e819e9a5,691c851d-b62e-4f33-a8fc-38718f52e7a4,doctor,0.01,Inactive,2023-05-05 15:47:50,60565
Checking,GBP,2b6e6a74-6b30-4c08-ae88-c15a380e41e8,ff0b7efa-b8ac-4d40-806a-ab268fed7301,should,0.03,Active,2023-07-12 12:38:15,53239
Saving,GBP,70df80a2-8b12-4560-82f5-806cadcaa10f,8c144f07-b002-4a17-aaf8-19feb4e889ad,forget,0.08,Active,2023-11-10 15:04:51,97781
Checking,GBP,d84f06b4-2904-4808-b4f7-ce55068516bf,ff9a1714-43c2-4203-b264-ff431fa8549c,able,0.04,Inactive,2023-07-06 03:15:09,18950
Checking,GBP,938c70c7-e2af-48b6-ab73-7fcf725614b3,2be5556a-b3d6-4321-b915-af28ad7f7a85,senior,0.07,Inactive,2023-12-12 00:23:06,57984
Saving,USD,848c0f5d-d687-4277-9844-5a163c1ef44f,b09547e1-210e-4e28-ac77-e424e5e9faf8,ball,0.1,Inactive,2023-12-07 07:21:52,83947
Checking,USD,f02df7ed-0f34-48e0-9857-c5950f1d99a4,2bbddbb7-bbad-483b-88f0-36a0e5a4c594,international,0.01,Active,2024-03-04 22:18:59,49046
Checking,USD,e254dc56-05c8-4cda-b45b-2b6e8a8b7af0,e5fb0bbe-ce53-49db-b37c-3e54c3068d4d,among,0.1,Active,2023-09-17 20:20:43,59273
Saving,GBP,899b4ce1-f748-4d57-9178-90385493e5e6,04de1093-5e5c-4ece-a41a-a01e4a330f6b,research,0.04,Active,2023-05-13 16:48:41,35694
Saving,GBP,7d177e46-3348-4d66-90ca-3df15bd37b4d,85630045-2376-40af-b573-a238ab5239f8,drop,0.01,Active,2024-02-24 10:35:00,89479
Checking,USD,b2eb0aa9-9b17-48bf-82f5-59537d27d4e4,20ab2c5c-c776-4db9-9596-0a5c651d0b09,throughout,0.06,Active,2023-05-07 00:02:00,51061
Checking,GBP,d976f716-a53e-42a6-9402-ecc14f736def,668f8a38-ecce-4b6b-9c0e-2d570dc6b8fc,none,0.06,Inactive,2024-02-05 06:06:27,68423
Saving,USD,98f9f621-0f6b-4646-a577-27ecb6cbf9e3,2b0c321f-1720-4968-bab9-f94b867ae9be,everything,0.08,Inactive,2023-10-09 03:23:23,71816
Saving,GBP,1304a6a9-2f11-4770-bee6-2186b86580aa,85785025-6b4c-4f73-9f3a-9a07dbe4b229,room,0.06,Active,2024-01-28 00:24:36,54977
Checking,EUR,7d617ad7-df35-47e5-b68b-f36023e6d9b5,b09547e1-210e-4e28-ac77-e424e5e9faf8,space,0.1,Active,2023-07-18 20:49:32,79972
Saving,USD,b1b2a242-0094-4c80-a88d-1680b1297f65,e9ce12bc-0b12-4ed5-977a-305d4f622210,finally,0.1,Active,2023-11-22 23:49:28,84828
Saving,USD,084033ad-e580-43fb-8c49-399338f27a15,95e4d2aa-e38c-406c-b2eb-f6da7f98d2b0,wind,0.05,Active,2023-10-15 08:57:54,1527
Saving,USD,b9cd3b73-0b4f-4176-a5c8-a50cf7ea08a3,f24ce5ce-6ef5-42b9-914b-1ba7da6e4f4c,simply,0.08,Active,2023-08-01 03:14:09,87546
Saving,USD,346bb30d-a91f-41b0-a11c-e6d7292d45f9,e9ce12bc-0b12-4ed5-977a-305d4f622210,sit,0.05,Inactive,2024-01-08 18:14:57,92365
Checking,GBP,dc2fa38c-44a5-4b29-9930-1501158829eb,c624ce46-c2c5-4d7e-8c7f-313f790b0864,trial,0.04,Inactive,2024-01-23 16:56:58,67261
Checking,USD,cf10ab09-47cf-4b92-a1e1-b1afe213e49a,691c851d-b62e-4f33-a8fc-38718f52e7a4,exist,0.09,Active,2024-03-14 16:50:42,40256
Saving,EUR,729434aa-d755-4d16-8090-01a9210fbcfa,f24ce5ce-6ef5-42b9-914b-1ba7da6e4f4c,use,0.06,Inactive,2024-01-09 04:45:41,82816
Checking,USD,fcb24d53-eca4-4ea6-8700-64410c2265ae,f1df6dbf-6278-4c29-9bd0-4abbf47d032f,become,0.03,Inactive,2024-04-03 09:04:10,24533
Checking,GBP,7d617ad7-df35-47e5-b68b-f36023e6d9b5,80c51af7-e84e-4ec9-84b6-6466fb9359f4,identify,0.07,Inactive,2023-08-31 19:01:31,38029
Checking,USD,0eb355a1-fd4b-49c6-9a72-39d40de77acb,57162ebf-7275-4379-9f99-cf7e112ebae7,individual,0.01,Inactive,2024-03-31 18:41:02,51626
Checking,USD,96b31ee2-7455-43c3-bed3-d0e698633933,0d3cd7d9-2503-4b63-bec1-8ea5da31a4f1,there,0.02,Inactive,2023-05-14 20:55:08,22218
Saving,USD,c6eb6600-7b9c-42f9-bef2-fe02f4daf097,c624ce46-c2c5-4d7e-8c7f-313f790b0864,scene,0.03,Active,2023-10-10 14:40:31,86141
Checking,EUR,a3ddaec4-14cd-4e0a-86f0-a40f8e8f0b91,b09547e1-210e-4e28-ac77-e424e5e9faf8,surface,0.07,Inactive,2024-04-06 09:34:24,69031
Checking,GBP,aedf0fc5-cbe0-448e-91bb-9bb9338b57dc,626f9ec2-95ae-4591-8304-78aca38dc67a,material,0.01,Inactive,2023-11-17 12:08:54,23846
Checking,GBP,5b5c0a48-3a06-4ca4-9ce2-3be8227a4ae7,ff0b7efa-b8ac-4d40-806a-ab268fed7301,outside,0.04,Inactive,2024-03-02 09:25:33,21182
Saving,EUR,6ea51fc4-3694-439a-865d-079492679700,21e490f8-50cc-496a-bfb5-2727fe03aad8,also,0.03,Active,2024-02-12 20:14:03,3108
Saving,EUR,a1cafe95-c1e4-40ca-b5f4-b18fbcae43a8,d1735667-0d01-4dc1-b219-4bdda5f0fb4e,benefit,0.1,Active,2023-07-29 21:28:40,76583
Checking,USD,8fbaffd9-445c-478c-94db-79f0b0b967d4,c2ebfa6d-04b5-479c-b778-f5241c761b2f,before,0.03,Active,2023-08-14 15:37:49,34603
Checking,EUR,d01d7e8d-5388-4d36-8fb2-8b5e66bff62f,85630045-2376-40af-b573-a238ab5239f8,learn,0.06,Active,2024-02-24 00:25:22,39220
Checking,GBP,c25e8e5d-388b-450f-8ea2-f49d5fc00f5e,ede82782-f6ee-4b12-ad36-e50df1990f5e,always,0.01,Inactive,2023-08-05 18:40:37,77304
Checking,USD,f8328574-f49d-4c87-8261-6154f6919153,80fb6c11-862f-41fb-b12e-a4d9c3b17506,determine,0.08,Inactive,2023-12-31 11:45:52,26853
Saving,GBP,0b46c751-2af1-40df-a201-6bfe7f0f5e6a,58457669-f3a7-49b4-bf30-c0248ff69bc0,TV,0.01,Inactive,2023-08-19 18:14:41,35143
Saving,USD,15f8cb0e-eedf-445a-811d-0a83db25f568,0d3cd7d9-2503-4b63-bec1-8ea5da31a4f1,put,0.08,Inactive,2023-05-09 14:26:26,94829
Checking,EUR,36133ff7-bf53-47c3-b5fd-3fbf550afe8e,f24ce5ce-6ef5-42b9-914b-1ba7da6e4f4c,policy,0.09,Inactive,2024-01-28 23:33:55,35227
Saving,USD,40555d73-2b46-4c37-9851-e2a7851e1015,cde859d4-b72d-452d-a480-f0ef4209c5ad,artist,0.05,Active,2024-03-19 07:36:36,74562
Saving,EUR,79ca3dc2-05e6-4e09-9780-fdff6953dd68,9e915fbf-6563-4601-9126-199398de1832,concern,0.02,Inactive,2024-03-16 19:24:54,87670
Checking,USD,c76d52de-4026-4cbe-8e35-618466d7fd8c,c2bdbcdc-f55c-410a-bb6f-8d8005df3f91,agent,0.09,Inactive,2024-01-03 00:48:15,15855
Checking,USD,3aa1d244-877b-490a-8058-069292edcc22,4d46c8dd-b914-4f24-b825-071fec96d6f9,together,0.03,Active,2023-06-20 21:53:14,98464
Saving,EUR,fc2764c1-e3a5-4336-b71a-3461a3c0ea67,3df1a3b0-b941-4f56-a863-3519e0b75773,once,0.04,Active,2024-02-25 17:02:42,37394
Checking,USD,ba7326b2-727c-4cac-8d3a-c9f789b4d500,85785025-6b4c-4f73-9f3a-9a07dbe4b229,there,0.05,Inactive,2023-08-29 08:22:08,75091
Checking,USD,dd1f46e1-c63d-4c85-8991-b22062ca814f,d87ba2ed-9c08-4678-adc6-fe28adc77d98,act,0.01,Inactive,2024-02-08 08:16:03,60341
Checking,EUR,da96d459-297c-4be2-8046-5d5583fbeb7a,8387a989-c0ee-4109-b06b-8971c227f22c,organization,0.04,Inactive,2023-05-28 13:59:59,86212
Saving,GBP,2bef2bea-f150-4b92-b292-48db8c0d4aa7,20ab2c5c-c776-4db9-9596-0a5c651d0b09,upon,0.1,Inactive,2023-06-28 07:33:58,84799
Checking,GBP,fb06aff5-cee4-46b8-aa9d-2675cd8edc9a,6f062357-841d-4e3d-96f3-9dcba56531b7,get,0.02,Active,2024-03-14 07:48:24,41819
Checking,EUR,f7a918cb-d6e9-49de-83cf-b354d0469a9a,edefc661-a046-4de1-9a2a-5a3362b0dacd,record,0.09,Inactive,2023-07-05 06:53:05,90642
Saving,USD,94e92edf-2dca-49b3-9f76-c79270561505,3baa87d0-c52b-48f6-9957-d0a990dc6f70,tonight,0.08,Active,2024-01-06 20:14:06,46113
Checking,GBP,acdecda2-2fea-43f3-9027-d253378597c7,2b0c321f-1720-4968-bab9-f94b867ae9be,create,0.06,Inactive,2023-05-17 17:40:17,63960
Saving,GBP,1129a74e-7afc-45bd-94c7-61b0e0ce5618,db70d3f1-ecb1-4106-91d5-c1c915549253,movement,0.07,Inactive,2023-07-29 02:06:50,67215
Checking,USD,3a0b6442-36bc-4a0c-a9a4-a281b1dc0a33,8c144f07-b002-4a17-aaf8-19feb4e889ad,contain,0.04,Inactive,2023-07-24 08:55:26,96755
Checking,GBP,28ef73ce-e9ca-4a15-a718-6e9c90eb953f,ff0b7efa-b8ac-4d40-806a-ab268fed7301,behavior,0.06,Inactive,2023-08-22 08:18:09,50614
Checking,GBP,1ff49c93-dcb2-476e-87f3-903d294c5355,edefc661-a046-4de1-9a2a-5a3362b0dacd,consumer,0.03,Inactive,2023-09-20 04:04:13,88023
Checking,USD,b80adba9-4b09-4957-8af7-afd37d86bacd,e9ce12bc-0b12-4ed5-977a-305d4f622210,movement,0.05,Inactive,2023-11-29 14:38:38,90908
Checking,GBP,50ea2f1d-b837-4c56-bc0c-e29c5285f37f,639cad89-9448-4c05-b396-704e4685885f,business,0.05,Inactive,2024-01-17 07:52:20,15600
Saving,GBP,e2e19055-e322-4027-8e5a-f9d0dfe72a2d,b3c9b51b-b289-422c-91bd-ce27c07842b6,possible,0.09,Active,2023-06-14 12:40:17,97496
Saving,USD,ff737bfe-42f2-4cd0-9a4f-074779a108f2,95e4d2aa-e38c-406c-b2eb-f6da7f98d2b0,former,0.07,Active,2024-03-06 07:43:10,73070
Checking,EUR,daa32123-6cfb-46d0-999b-cef61e6719ca,80fb6c11-862f-41fb-b12e-a4d9c3b17506,simply,0.1,Inactive,2023-06-02 05:23:57,71460
Checking,EUR,4148b77a-93e4-47d4-b925-8eb4f77a85bb,172ac7f6-3651-47c4-85c0-d65f8feaeafb,son,0.07,Inactive,2023-08-29 16:28:44,95160
Checking,USD,e9d279c3-df2a-46b5-9272-2fcba4a8b3d7,04de1093-5e5c-4ece-a41a-a01e4a330f6b,executive,0.09,Inactive,2023-09-16 11:39:11,17092
Checking,USD,87501df3-bb89-4617-b99c-d95556fb7a8f,21d1fef6-9ee9-4d4c-969d-7d19538f693b,federal,0.1,Active,2024-03-27 13:56:38,54069
Checking,GBP,18505476-9fc1-4f90-b8a7-68a6ead9e1fb,c98eb443-0a39-476c-b59b-8aa06732e3c9,these,0.01,Inactive,2023-06-10 06:07:09,59682
Saving,USD,8f336da0-1749-4e0a-a9e4-92aa634568f9,58457669-f3a7-49b4-bf30-c0248ff69bc0,place,0.05,Inactive,2023-08-10 12:09:50,76286
Checking,GBP,74132088-a08c-4a55-b230-00a9b15cfae9,5eec1a34-36a0-42a9-9c6b-6efe347bccd9,stand,0.07,Inactive,2023-06-03 07:19:24,72161
Checking,GBP,a6efa049-95e3-4244-9f90-df0891a96b60,80c51af7-e84e-4ec9-84b6-6466fb9359f4,establish,0.02,Active,2023-08-02 18:38:48,69588
Checking,USD,ac12a77b-2e55-4287-9083-907b1311fdf1,ff9a1714-43c2-4203-b264-ff431fa8549c,happen,0.05,Active,2023-06-11 07:35:23,65396
Checking,USD,fa41df94-0961-45eb-9ab9-75461acf7e46,1c251091-25c8-4ec3-ae6f-ba83e0827c1e,professor,0.04,Active,2023-08-15 14:00:36,78059
Saving,EUR,bb3b8dab-6dac-4e4e-a397-7c010f525a5c,57162ebf-7275-4379-9f99-cf7e112ebae7,window,0.04,Active,2023-10-18 03:19:44,37278
Saving,USD,679387c2-aed4-4719-9370-5d4b23a1607c,e9ce12bc-0b12-4ed5-977a-305d4f622210,information,0.04,Active,2023-10-03 13:47:12,13417
Saving,USD,bfe2445e-83ae-415b-9795-68dc3345aa3e,6f40a3e5-67eb-4516-84b5-580c591e4c84,of,0.09,Active,2023-12-28 15:22:21,60110
Checking,GBP,84c20bee-2f99-4778-8f57-93a8007ae44c,f24ce5ce-6ef5-42b9-914b-1ba7da6e4f4c,down,0.08,Inactive,2023-05-11 03:17:35,35819
Checking,USD,71c00b10-ec87-4723-82b0-dfffe5a4826d,85785025-6b4c-4f73-9f3a-9a07dbe4b229,meeting,0.03,Inactive,2024-01-25 20:24:24,44092
Checking,USD,750b7067-a46e-4a1b-ad76-5e7a835aef8d,b1089816-a051-45b3-b494-df6ab4507475,position,0.09,Active,2024-01-11 20:42:07,8568
Saving,USD,153df312-8b1e-47e5-8099-52a550b6c386,c624ce46-c2c5-4d7e-8c7f-313f790b0864,up,0.05,Inactive,2023-10-31 05:27:15,63787
Saving,EUR,90c8b5a7-3000-4402-a28e-377d82d42fbc,e0b9e5f0-48f7-4df3-ba36-b6961696dcbd,service,0.02,Inactive,2023-09-16 09:14:37,44707
Saving,EUR,28e49ce2-97ba-435e-9942-ded2f57c315e,1535b5e9-768a-445b-b5d4-dc1e4d0d37ec,woman,0.02,Active,2023-12-07 20:35:55,25197
Checking,USD,4247b795-ef0d-417d-a7ab-e56210987ee3,ff3d0f07-4ed6-4106-89cb-636bffc32d79,name,0.05,Active,2024-01-05 06:20:22,43565
Checking,EUR,0b6ded35-af16-4998-8d03-ca27de9a546e,85630045-2376-40af-b573-a238ab5239f8,yourself,0.1,Active,2023-09-04 12:22:21,36108
Saving,EUR,d844d8b8-7621-4ca9-a863-88580435416c,d7704a55-ccc1-4a05-a5e1-64d6703b63e5,plan,0.07,Inactive,2024-02-21 19:19:19,85238
Saving,USD,1703c590-8869-4859-8e63-d756d174a336,1d8d64e5-fe21-421d-928b-8d668e792bd9,than,0.08,Active,2024-01-11 18:57:24,92892
Saving,GBP,5b7d0366-8923-41f9-aee2-f833d4a1bee4,8f872c4a-480b-4737-b8b1-ce6ce9ed71a3,southern,0.08,Inactive,2023-04-19 01:01:15,31392
Saving,USD,5aadc194-699c-4b0b-8db7-104c8c0ec73d,b09547e1-210e-4e28-ac77-e424e5e9faf8,region,0.09,Inactive,2023-08-27 11:38:30,31164
Checking,GBP,b4e8522e-f86e-4f4e-bef7-a5b65e6c1f51,ede82782-f6ee-4b12-ad36-e50df1990f5e,Democrat,0.02,Inactive,2023-07-02 10:27:03,62840
Checking,EUR,54a5c01f-55a8-4ea6-ab4b-1f0b83fc3c24,c624ce46-c2c5-4d7e-8c7f-313f790b0864,find,0.05,Inactive,2023-06-01 21:22:29,89107
Saving,EUR,8ceb64b6-7833-477e-ac34-27574f0c87c2,ff9a1714-43c2-4203-b264-ff431fa8549c,ground,0.04,Active,2023-06-15 13:05:51,76890
Saving,GBP,3959c9be-e141-4eb1-8928-38d6bb6b0f02,edefc661-a046-4de1-9a2a-5a3362b0dacd,experience,0.02,Inactive,2023-09-10 01:58:37,89909
Checking,EUR,091b90e6-8e39-40e3-8151-73498f0e7250,8e7d0511-aac9-49f1-86ba-ab06969541d6,window,0.08,Inactive,2023-05-20 23:52:08,84075
Checking,EUR,223638d3-02d5-4079-86aa-05700ab2193d,53604252-da97-4254-9ef2-fa9fc293c634,end,0.1,Active,2023-12-05 05:02:03,91391
Checking,GBP,049c8568-989f-4e22-a1c5-b643976a7742,8643dfd7-52b1-4dc9-93b1-e58aaf03e9e6,ago,0.01,Active,2023-10-30 23:38:22,69708
Checking,USD,86b1de56-405e-4d62-a9fc-eb285953f4ce,7db308e2-8cc1-471c-9584-9629803062d9,summer,0.04,Inactive,2023-07-29 21:22:36,64040
Saving,USD,2551e4a5-b1c0-4924-9ad9-0c079190147a,85785025-6b4c-4f73-9f3a-9a07dbe4b229,foreign,0.09,Inactive,2023-12-18 19:45:34,56511
Saving,USD,9950f02c-13cc-40bd-a53f-3ce6bf13744f,7db308e2-8cc1-471c-9584-9629803062d9,art,0.07,Active,2024-03-12 17:12:29,78539
Saving,USD,3221a67c-9cfb-4aac-abbd-410a31eff647,668f8a38-ecce-4b6b-9c0e-2d570dc6b8fc,room,0.03,Active,2023-10-17 00:50:46,64012
Saving,EUR,1298388c-7648-4f60-8452-ad3851061ae7,6f062357-841d-4e3d-96f3-9dcba56531b7,rate,0.04,Inactive,2023-12-10 18:51:38,88491
Saving,GBP,c7afc48f-a561-453a-a13b-0b9570246c1a,1c251091-25c8-4ec3-ae6f-ba83e0827c1e,bill,0.05,Active,2023-06-08 10:20:18,3005
Checking,EUR,14bfc58e-17ea-4698-a398-800ae3cb852a,de1da2cd-cbeb-4338-a33d-672f7c44967d,candidate,0.06,Inactive,2023-08-28 07:33:24,61545
Checking,USD,6ca055b3-1530-4632-8c56-b3ef62140a4a,da096f46-bef9-4996-b4b4-377ea09791db,nothing,0.1,Active,2023-09-27 14:47:09,76449
Saving,USD,f5e010c6-dcdb-48db-babd-3e030c28d4af,ede82782-f6ee-4b12-ad36-e50df1990f5e,seven,0.01,Active,2023-09-30 03:33:27,64962
Saving,EUR,cca629ef-a535-4ad9-9292-d834cb065022,57162ebf-7275-4379-9f99-cf7e112ebae7,law,0.1,Inactive,2023-06-29 19:17:50,1891
Saving,USD,18505476-9fc1-4f90-b8a7-68a6ead9e1fb,c624ce46-c2c5-4d7e-8c7f-313f790b0864,PM,0.1,Active,2023-10-08 23:07:41,21950
Saving,USD,1c1b9f1f-b7f7-4a5a-a677-4544e0b0b8d4,ff9a1714-43c2-4203-b264-ff431fa8549c,smile,0.1,Inactive,2023-11-13 01:56:04,75025
Saving,USD,2bfb4700-0be5-477d-99af-3bb7e8ad6936,c2ebfa6d-04b5-479c-b778-f5241c761b2f,face,0.04,Inactive,2023-12-01 14:02:57,46720
Saving,GBP,899b4ce1-f748-4d57-9178-90385493e5e6,b3c9b51b-b289-422c-91bd-ce27c07842b6,throughout,0.04,Inactive,2023-10-19 21:18:50,62026
Saving,EUR,fc2764c1-e3a5-4336-b71a-3461a3c0ea67,f24ce5ce-6ef5-42b9-914b-1ba7da6e4f4c,nor,0.03,Inactive,2024-03-28 23:49:25,80492
Saving,EUR,602bd17f-e809-4fe8-ae0a-39f587c1678c,8f872c4a-480b-4737-b8b1-ce6ce9ed71a3,southern,0.08,Active,2023-08-23 15:22:38,53039
Checking,USD,86b1de56-405e-4d62-a9fc-eb285953f4ce,a8bff895-1cb2-47ae-b610-e7579bd6507b,soldier,0.06,Active,2023-08-15 05:58:20,58700
Checking,EUR,9f9e4df6-aedd-458a-9155-925e41eb2e70,150f753c-fc5a-4017-85f0-9bdeb6eebb22,maybe,0.08,Active,2023-12-29 05:47:36,39408
Saving,USD,bb7fca81-b518-4d72-8d54-c84a108e961a,8643dfd7-52b1-4dc9-93b1-e58aaf03e9e6,buy,0.03,Inactive,2023-11-30 03:59:40,37010
Saving,GBP,40690839-79a0-4db7-beed-e89ea646631d,5cf637df-79f1-4b79-8996-624b31322283,into,0.09,Inactive,2023-05-13 13:16:59,38908
Checking,USD,755720c9-d170-4a40-84a4-8ebebf9c9f06,3baa87d0-c52b-48f6-9957-d0a990dc6f70,event,0.1,Active,2023-11-24 08:32:10,53238
Checking,GBP,d577eddc-8bf1-44f5-adde-699e0dbde362,de1da2cd-cbeb-4338-a33d-672f7c44967d,part,0.03,Inactive,2023-12-27 07:22:36,84958
Checking,GBP,8c884e19-441b-47eb-b951-9811a2404d90,626f9ec2-95ae-4591-8304-78aca38dc67a,answer,0.04,Inactive,2023-11-13 00:05:23,55568
Saving,USD,d7f26d66-6582-4645-bce7-d8860ccd11b5,3df1a3b0-b941-4f56-a863-3519e0b75773,painting,0.06,Inactive,2023-12-14 10:10:38,64209
Saving,EUR,cb0317f0-5e71-47fd-b30c-86d9c031d818,02724760-be34-4386-b189-7936855a01de,age,0.06,Inactive,2023-12-17 12:08:01,55040
Checking,GBP,0182ae69-cddb-449a-9764-8af618b9f168,42895d93-ff7b-4e69-812b-8bea493184a9,language,0.01,Active,2023-08-12 15:39:18,6555
Saving,EUR,6c11ae45-2ea1-496d-88d6-1a44405bb482,8e5bcc3a-ff53-4759-9661-ee501110600a,yourself,0.04,Inactive,2023-09-18 11:22:31,20745
Saving,USD,eff02bb0-0b4c-41a9-8c3e-cea4eab933c3,4aaad543-d569-4bd4-8a66-7c7e6bc97e5a,power,0.07,Active,2023-05-10 21:35:03,22386
Saving,GBP,b34f62d8-c46b-49ce-a91b-d41f5673eac8,668f8a38-ecce-4b6b-9c0e-2d570dc6b8fc,fund,0.07,Inactive,2023-07-03 17:52:13,38519
Checking,GBP,2c2c81f6-6950-4a51-9e37-364a0470674f,a2f96486-7b58-49d1-8602-77feaeb12725,couple,0.02,Inactive,2024-04-17 12:48:05,44255
Saving,EUR,906c3c94-7c20-49bb-896c-9253b5439081,f1df6dbf-6278-4c29-9bd0-4abbf47d032f,lawyer,0.07,Active,2024-02-11 12:19:30,3138
Checking,GBP,5378ce79-2c92-4ab9-9850-c0d5cde9dd80,02724760-be34-4386-b189-7936855a01de,evening,0.07,Inactive,2023-11-03 07:19:17,94456
Checking,EUR,f337a101-2904-40eb-a092-5e039d121362,8387a989-c0ee-4109-b06b-8971c227f22c,list,0.1,Active,2023-10-31 09:59:51,2840
